platform,nbodies,execution_time_s
CPU-c, 1000,0.10
CPU-omp, 1000,0.04
GPU-CUDA_v0, 1000,0.18
GPU-CUDA_v1, 1000,0.19
CPU-c, 1000,0.10
CPU-omp, 1000,0.04
GPU-CUDA_v0, 1000,0.18
GPU-CUDA_v1, 1000,0.18
CPU-c, 1000,0.10
CPU-omp, 1000,0.04
CPU-c, 1000,0.10
CPU-omp, 1000,0.05
CPU-c, 1500,0.21
CPU-omp, 1500,0.09
CPU-c, 1500,0.22
CPU-omp, 1500,0.12
CPU-c, 1500,0.22
CPU-omp, 1500,0.09
GPU-CUDA_v0, 1500,0.18
GPU-CUDA_v1, 1500,0.19
CPU-c, 2000,0.38
CPU-omp, 2000,0.14
GPU-CUDA_v0, 2000,0.18
GPU-CUDA_v1, 2000,0.19
CPU-c, 2500,0.61
CPU-omp, 2500,0.21
GPU-CUDA_v0, 2500,0.19
GPU-CUDA_v1, 2500,0.18
CPU-c, 3000,0.85
CPU-omp, 3000,0.29
GPU-CUDA_v0, 3000,0.19
GPU-CUDA_v1, 3000,0.19
CPU-c, 3500,1.16
CPU-omp, 3500,0.38
GPU-CUDA_v0, 3500,0.20
GPU-CUDA_v1, 3500,0.20
CPU-c, 4000,1.51
CPU-omp, 4000,0.49
GPU-CUDA_v0, 4000,0.21
GPU-CUDA_v1, 4000,0.20
CPU-c, 4500,1.90
CPU-omp, 4500,0.60
GPU-CUDA_v0, 4500,0.20
GPU-CUDA_v1, 4500,0.20
CPU-c, 7000,4.55
CPU-omp, 7000,1.41
GPU-CUDA_v0, 7000,0.23
GPU-CUDA_v1, 7000,0.23
CPU-c, 10000,9.37
CPU-omp, 10000,2.87
GPU-CUDA_v0, 10000,0.28
GPU-CUDA_v1, 10000,0.25
CPU-c, 20000,37.53
CPU-omp, 20000,12.79
GPU-CUDA_v0, 20000,0.50
GPU-CUDA_v1, 20000,0.42
CPU-c, 25000,64.04
CPU-omp, 25000,20.61
GPU-CUDA_v0, 25000,0.67
GPU-CUDA_v1, 25000,0.41
CPU-c, 30000,88.58
CPU-omp, 30000,25.90
GPU-CUDA_v0, 30000,0.86
GPU-CUDA_v1, 30000,0.46
CPU-c, 35000,120.59
CPU-omp, 35000,34.23
GPU-CUDA_v0, 35000,1.01
GPU-CUDA_v1, 35000,0.51
CPU-c, 50000,235.29
CPU-omp, 50000,68.92
GPU-CUDA_v0, 50000,1.61
GPU-CUDA_v1, 50000,0.62
CPU-c, 35000,111.81
CPU-omp, 35000,33.49
GPU-CUDA_v0, 35000,0.93
GPU-CUDA_v1, 35000,0.47
CPU-c, 30000,82.66
CPU-omp, 30000,24.58
GPU-CUDA_v0, 30000,0.84
GPU-CUDA_v1, 30000,0.43
CPU-c, 1000,0.10
CPU-omp, 1000,0.07
GPU-CUDA_v0, 1000,0.30
GPU-CUDA_v1, 1000,0.17
CPU-c, 10000,11.28
CPU-omp, 10000,3.73
GPU-CUDA_v0, 10000,0.30
GPU-CUDA_v1, 10000,0.29
CPU-c, 10000,11.21
CPU-omp, 10000,3.31
GPU-CUDA_v0, 10000,0.34
GPU-CUDA_v1, 10000,0.28
CPU-c, 10000,11.71
CPU-omp, 10000,3.49
GPU-CUDA_v0, 10000,0.30
GPU-CUDA_v1, 10000,0.29
CPU-c, 20000,44.58
CPU-omp, 20000,13.07
GPU-CUDA_v0, 20000,0.51
GPU-CUDA_v1, 20000,0.38
CPU-c, 20000,41.84
CPU-omp, 20000,12.71
GPU-CUDA_v0, 20000,0.51
GPU-CUDA_v1, 20000,0.38
CPU-c, 20000,42.55
CPU-omp, 20000,13.80
GPU-CUDA_v0, 20000,0.52
GPU-CUDA_v1, 20000,0.37
